数据库：主要城市年度数据
指标：房地产开发投资额(亿元)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,3758.29,4202.41,4178.46,4139.03,3938.71,3838.38,3873.35,3692.54,4000.57,4177.05,3715.33,3483.40,3153.44,3036.31,2901.07,2337.71,1908.74,1995.82,1719.87
天津,,1262.23,1232.04,2127.94,2769.98,2608.54,2727.82,2424.49,2233.39,2300.01,1871.55,1699.65,1480.82,1260.00,1080.25,866.64,735.18,653.72,505.30,402.32
石家庄,,516.11,521.01,767.20,951.32,926.49,887.64,1010.71,1212.27,1015.77,965.13,1025.33,928.15,833.21,789.14,538.00,378.22,280.40,197.54,132.15
太原,,507.68,518.23,541.41,665.47,714.82,696.54,529.41,470.63,681.90,597.83,469.68,416.23,359.24,310.55,241.09,165.01,121.17,94.82,80.32
呼和浩特,,280.92,234.58,219.09,270.72,246.89,175.22,174.25,238.40,520.52,509.05,563.13,581.68,447.99,330.03,254.35,178.99,177.07,129.83,94.99
沈阳,,510.47,610.86,940.31,1222.61,1235.89,1174.80,996.72,814.24,709.67,1337.66,1975.82,2184.01,1942.96,1684.72,1450.08,1188.70,1010.91,730.36,538.29
大连,,362.42,458.13,608.84,728.95,753.06,711.06,688.51,566.64,535.17,897.46,1429.34,1710.36,1396.52,1107.46,768.02,578.94,495.82,407.83,337.23
长春,,412.51,551.16,661.96,1052.34,996.07,876.79,778.63,573.78,596.65,501.32,532.57,611.78,649.65,666.42,542.76,443.93,352.89,259.50,171.84
哈尔滨,,179.20,228.21,341.05,531.37,622.05,620.45,584.99,498.59,512.13,593.98,686.66,857.94,789.04,570.46,360.74,279.23,215.76,187.42,157.83
上海,,6228.91,6062.04,4979.54,5035.18,4698.75,4231.38,4033.18,3856.53,3709.03,3468.94,3206.48,2819.59,2381.36,2253.83,1980.68,1462.07,1435.73,1307.53,1275.59
南京,,2190.63,2764.36,2758.77,2719.80,2631.40,2501.26,2354.17,2170.21,1845.60,1429.02,1125.49,1037.71,971.96,871.76,748.35,595.68,508.17,445.97,351.17
杭州,,4222.17,4400.69,3889.10,3628.33,3575.33,3396.75,3068.90,2734.20,2606.41,2472.60,2301.98,1853.28,1597.36,1201.51,956.20,704.68,615.41,518.79,442.65
宁波,,1873.20,2218.61,2131.68,2075.59,1818.88,1703.59,1587.47,1374.47,1270.33,1228.84,1328.14,1123.14,884.35,711.46,557.27,374.51,307.75,332.89,313.58
合肥,,1582.46,1544.63,1457.09,1466.42,1546.99,1556.08,1527.17,1557.41,1352.59,1259.14,1127.35,1105.81,913.80,889.60,819.03,670.36,567.16,387.53,281.81
福州,,944.55,1085.97,1663.87,2248.81,2070.23,1812.77,1439.68,1694.18,1679.44,1381.12,1455.07,1264.79,972.27,963.41,670.69,361.80,313.61,376.47,296.78
厦门,,976.06,1435.60,1064.78,1069.66,1055.76,899.53,884.58,879.86,765.80,774.07,704.06,531.80,518.88,438.12,396.13,267.42,327.02,345.74,213.93
南昌,,473.49,496.63,787.42,975.84,971.57,913.04,890.43,790.69,674.60,485.37,414.07,406.14,344.36,279.89,230.15,198.25,163.30,125.60,110.75
济南,,1557.55,1489.24,1830.80,1928.00,1707.63,1489.38,1370.43,1232.63,1163.94,1014.40,917.54,721.77,664.01,528.92,484.50,332.56,274.12,193.21,160.05
青岛,,1511.79,1729.32,1789.87,1982.34,2045.12,1803.81,1485.21,1330.54,1369.14,1122.35,1117.73,1048.52,932.10,785.82,602.44,459.48,380.57,322.35,268.36
郑州,,1864.33,1863.87,2158.59,3088.88,3428.78,3349.86,3258.41,3358.84,2778.95,2000.20,1743.51,1445.33,1095.14,926.31,775.16,512.32,434.96,298.76,229.89
武汉,,3332.08,3446.88,3366.79,3254.62,2777.15,2966.21,2780.01,2686.34,2517.44,2581.79,2353.63,1905.60,1574.86,1282.25,1017.40,778.59,560.36,459.75,366.15
长沙,,1712.98,1888.70,2281.48,2236.88,1869.88,1672.96,1508.72,1493.44,1260.55,1006.84,1313.62,1157.63,1034.35,926.01,684.10,497.35,493.27,407.05,303.86
广州,,3066.03,3311.45,3431.90,3626.44,3293.95,3102.26,2701.93,2702.89,2540.85,2137.59,1816.15,1572.43,1370.45,1305.56,983.66,817.34,763.54,703.80,556.79
深圳,,3219.45,3787.46,3391.54,2979.08,3537.84,3041.65,2640.71,2130.86,1756.52,1331.03,1069.49,876.90,736.84,514.74,458.47,437.46,440.49,461.04,462.09
南宁,,444.12,496.41,743.83,1359.95,1378.20,1461.08,1106.36,958.09,854.00,657.19,551.82,416.37,362.73,392.42,322.82,226.73,202.46,187.46,139.07
海口,,442.70,482.25,438.09,452.45,443.67,480.73,609.42,603.25,551.09,456.39,300.47,256.40,175.66,144.64,103.79,78.44,76.17,59.97,50.47
重庆,,2565.79,2796.71,3216.87,4354.96,4351.96,4439.30,4248.76,3980.08,3725.95,3751.28,3630.23,3012.78,2508.35,2015.10,1620.26,1238.91,991.00,849.90,629.67
成都,,2415.38,2449.59,3271.72,3142.38,2847.64,2611.71,2273.16,2492.65,2638.89,2435.25,2215.53,2111.25,1889.23,1588.22,1278.34,945.14,923.51,905.28,613.64
贵阳,,437.48,417.78,753.02,1120.05,1291.37,1175.37,985.26,1024.09,927.32,1001.03,1010.38,978.02,901.03,460.49,310.47,210.32,170.11,135.44,107.69
昆明,,492.74,634.26,1487.00,2149.06,2263.71,2096.25,1839.79,1683.33,1530.50,1451.31,1492.62,1291.71,919.07,633.03,437.14,382.15,274.20,228.02,188.93
拉萨,,,,,,,,,,44.54,,,,,,,,,,
西安,,2144.76,2052.03,2061.85,1975.28,2064.63,2008.30,2213.68,2234.84,1955.82,1820.85,1742.28,1572.65,1269.93,996.12,842.34,694.23,545.71,387.33,285.76
兰州,,297.31,401.54,486.45,602.76,553.77,550.67,575.22,418.26,391.15,320.56,317.08,257.44,209.74,154.84,118.28,99.08,92.43,74.45,53.84
西宁,,91.95,113.17,169.93,265.78,270.40,290.99,292.25,351.33,316.50,280.43,246.86,195.58,160.14,118.55,95.40,63.84,45.39,31.60,29.38
银川,,253.24,266.42,273.80,325.79,311.43,275.35,295.25,402.82,474.94,409.17,388.90,330.81,275.70,214.78,172.13,99.96,78.62,62.72,57.68
乌鲁木齐,,366.65,358.08,311.95,537.77,550.40,544.13,659.15,422.74,362.50,366.87,329.98,270.59,220.69,194.29,143.03,113.30,99.96,81.80,53.11
数据来源：国家统计局
