数据库：主要城市年度数据
指标：商品房销售面积(万平方米)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,1118.65,1131.82,1039.98,1107.07,970.88,938.86,696.19,869.95,1658.93,1554.25,1454.19,1903.11,1943.74,1439.20,1639.53,2362.25,1335.37,2176.57,2607.62
天津,,1183.81,1178.51,973.77,1435.42,1306.96,1478.68,1249.87,1482.12,2711.08,1771.07,1612.98,1847.11,1661.69,1594.57,1514.52,1590.02,1252.04,1548.59,1458.60
石家庄,,490.50,586.75,606.06,720.29,656.26,782.28,844.69,1027.34,798.42,757.82,888.26,951.21,768.73,922.24,469.31,349.76,338.86,393.58,303.53
太原,,399.01,532.78,507.37,821.78,781.36,741.10,839.42,786.41,609.84,448.28,419.21,423.31,324.81,216.18,258.82,183.80,182.94,167.23,137.23
呼和浩特,,186.10,187.79,145.83,309.66,413.76,326.00,396.05,316.51,425.49,381.81,363.91,420.45,478.18,449.71,471.88,379.58,331.89,225.89,215.32
沈阳,,522.57,530.33,648.89,1092.70,1381.32,1453.53,1354.82,1300.24,1184.32,1065.06,1498.40,2262.33,2469.65,2165.17,1746.52,1532.93,1465.05,1462.04,1243.79
大连,,292.72,309.03,434.33,687.71,714.84,658.87,775.95,839.84,707.49,637.33,746.40,1222.13,1076.36,909.91,1215.33,1152.68,822.71,828.24,628.78
长春,,530.41,570.74,540.77,1027.25,1054.41,1342.37,1288.44,1147.19,1017.75,799.12,758.84,847.06,908.00,879.14,863.08,715.72,570.64,513.77,408.25
哈尔滨,,313.86,388.65,408.97,609.45,768.50,964.78,1050.58,1269.54,1057.96,895.98,1041.05,1370.48,1195.28,998.59,881.75,705.28,587.08,748.95,674.41
上海,,1656.86,1811.71,1852.88,1880.45,1789.16,1696.34,1767.01,1691.60,2705.69,2431.36,2084.66,2382.20,1898.46,1790.86,2060.96,3372.45,2339.29,3694.96,3025.40
南京,,930.12,906.77,942.32,1510.95,1324.67,1320.65,1220.73,1429.61,1558.18,1543.16,1207.58,1222.01,950.87,767.71,823.17,1186.94,703.55,1137.88,1010.50
杭州,,1038.06,1447.34,1393.66,2236.25,1699.34,1513.62,1675.98,2054.11,2327.86,1482.17,1122.91,1139.13,1089.62,738.04,988.34,1456.38,775.02,1150.28,761.76
宁波,,796.27,901.56,1128.80,1606.23,1858.20,1714.64,1624.38,1543.64,1336.95,1007.21,726.44,730.09,590.22,526.53,693.56,815.18,448.38,804.43,609.31
合肥,,974.03,1109.25,1459.18,1836.59,1486.11,1321.87,1389.58,1283.40,2098.34,1589.21,1594.79,1628.09,1242.48,1245.98,1004.70,1297.95,933.13,1042.69,650.31
福州,,739.15,877.41,1419.70,2138.49,1888.10,1708.19,1711.05,1685.46,1221.33,914.70,965.60,1256.49,841.50,621.04,597.80,690.13,370.66,645.63,664.58
厦门,,484.68,603.79,607.63,593.04,621.82,540.77,529.42,527.88,528.86,570.83,790.21,786.71,615.34,445.39,426.77,529.29,389.47,497.70,433.27
南昌,,690.05,717.77,1390.70,2019.49,1770.83,1906.13,1846.31,1610.43,1244.65,901.02,824.66,841.49,689.86,499.13,520.84,494.69,335.48,478.99,383.51
济南,,1036.28,1170.22,1241.95,1548.20,1335.75,1151.00,1236.30,1216.27,1425.29,1192.12,865.35,822.63,659.56,596.17,531.49,441.06,371.16,320.24,284.66
