数据库：主要城市年度数据,,,,,,,,,,,,,,,,,,,,
指标：地区生产总值（当年价格）(亿元),,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京,,49670.2,47353.7,45222.4,44350.7,38503.6,37767,35161.4,31325.9,28438.7,26034.1,23577.5,21746,19568.3,17653.3,15420.2,13335.7,12167.6,10730.4,8618.9
天津,,17931.3,17211.8,16588.5,16093.2,14230.8,14097.2,13411.1,12468.2,11487,10889.2,10749.2,10075.2,9193,8240.8,6991.6,5828.6,5278.3,4229.8,3592.5
石家庄,,8203.44,7534,7100.64,6490.3,5935,5810,6082.62,6460.88,5927.73,5440.6,5170.27,4863.66,4500.2,4082.68,3401,3001,2838.37,2360.72,2026.63
太原,,5418.87,5574,5571.17,5121.61,4153,4029,3884.48,3382.18,2955.6,2735.34,2531.09,2412.87,2311.4,2080.12,1778.1,1545,1468.09,1254.94,1013.65
呼和浩特,,4107.08,3802,3329.1,3121.43,2801,2791,2903.5,2743.72,3173.59,3090.52,2894.05,2710.39,2475.6,2177.27,1865.7,1644,1316.37,1101.13,900.08
沈阳,,9027.14,8122,7695.8,7249,6572,6470,6292.4,5864.97,5546.45,7272.31,7098.71,7158.57,6602.6,5915.71,5017.5,4269,3860.47,3221.15,2519.63
大连,,9516.87,8753,8430.95,7825.95,7030,7002,7668.48,7363.92,6810.2,7731.64,7655.58,7650.79,7002.8,6150.63,5158.2,4350,3858.25,3130.68,2569.67
长春,,7632.19,7002,6744.56,7103.1,6638,5904,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.6,4003.08,3329,2849,2561.9,2089.09,1741.19
哈尔滨,,6016.33,5576,5490.1,5351.66,5184,5249,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.2,4242.19,3664.9,3175,2868.19,2436.8,2094.08
上海,,53759.5,51404.5,48594.5,47059.4,41603.9,40241.2,37769.1,34378.3,30963.9,27821.6,25964.5,23809.4,21774.9,20406.1,18319.6,16181.4,14877.1,13179.8,10825.4
南京,,18500.81,17421,16907.85,16356,14818,14031,12820.4,11715.1,10503.02,9720.77,8820.75,8011.78,7201.6,6145.52,5130.7,4230,3775,3283.73,2773.78
杭州,,21860.32,20059,18753.07,18109.42,16106,15373,13509.15,12603.36,11313.72,10050.21,9206.16,8343.52,7802,7019.06,5949.2,5088,4781.16,4100.17,3441.51
宁波,,18147.7,16453,15704.3,14594.92,12409,11985,10745.46,9842.1,8686.49,8003.61,7610.28,7128.87,6582.2,6059.24,5163,4329,3964.05,3435,2874.44
合肥,,13507.69,12674,12013.1,11412.8,10046,9409,7822.91,7213.45,6274.38,5660.27,5157.97,4672.91,4164.3,3636.6,2701.6,2102,1664.84,1334.61,1073.76
福州,,14236.76,12928,12308.23,11324.48,10020,9392,7856.81,7103.4,6197.64,5618.08,5169.16,4678.5,4218.3,3736.38,3123.4,2604,2284.16,1974.58,1664.05
厦门,,8589.01,8066,7802.66,7033.89,6384,5995,4791.41,4351.7,3784.27,3466.03,3273.58,3018.16,2817.1,2539.31,2060.1,1737,1560.02,1387.85,1168.02
南昌,,7800.37,7213,7203.5,6650.53,5746,5596,5274.67,5003.19,4354.99,4000.01,3667.96,3336.03,3000.5,2688.87,2200.1,1838,1660.08,1389.89,1183.9
济南,,13527.55,12757,12027.46,11432.22,10141,9443,7856.56,7201.96,6536.12,6100.23,5770.6,5230.19,4803.7,4406.29,3910.5,3351,3017.42,2562.81,2185.09
青岛,,16719.46,15760,14920.75,14136,12401,11741,12001.52,11037.28,10011.29,9300.07,8692.1,8006.6,7302.1,6615.6,5666.2,4854,4436.18,3786.52,3206.58
郑州,,14532.07,13618,12934.7,12691.02,12004,11590,10143.32,9130.2,8113.97,7311.52,6776.99,6201.9,5549.8,4979.85,4040.9,3308,3003.99,2486.75,2013.48
武汉,,21106.23,20012,18866.43,17716.76,15616,16223,14847.29,13410.34,11912.61,10905.6,10069.48,9051.27,8003.8,6762.2,5565.9,4621,3960.08,3141.9,2590.76
长沙,,15268.78,14332,13966.11,13270.7,12143,11574,11003.41,10535.51,9356.91,8510.13,7824.81,7153.13,6399.9,5619.33,4547.1,3745,3000.98,2190.25,1798.96
广州,,31032.5,30356,28839,28231.97,25019,23629,22859.35,21503.15,19547.44,18100.41,16706.87,15420.14,13551.2,12423.44,10748.3,9138,8215.82,7109.18,6073.83
深圳,,36801.87,34606,32387.68,30664.85,27670,26927,24221.98,22490.06,19492.6,17502.86,16001.82,14500.23,12950.1,11505.53,9581.5,8201,7806.54,6801.57,5813.56
南宁,,5995.36,5469,5218.35,5120.94,4726,4507,4026.91,4118.83,3703.33,3410.09,3148.3,2803.54,2503.2,2211.4,1800.3,1525,1316.21,1069.01,870.15
海口,,2470.63,2358,2134.77,2057.06,1792,1672,1510.51,1390.58,1257.67,1161.96,1091.7,904.64,818.8,713.3,595.1,490,443.18,393.69,350.12
重庆,,32046.7,30614.3,28771.8,28092.5,25158.1,23689.6,21866.8,20260.8,18271.1,16305.9,14911.7,13275.8,11797.8,10314.1,8186.5,6744.1,5978.8,4837.5,3949
成都,,23511.34,22075,20817.5,19916.98,17717,17013,15342.77,13889.39,12170.23,10801.16,10056.59,9108.89,8138.9,6854.58,5551.3,4503,3900.99,3324.17,2750.48
贵阳,,5777.41,5155,4921.17,4711.03,4312,4040,3798.45,3537.96,3157.7,2891.16,2497.27,2085.42,1700.3,1383.07,1121.8,972,811.05,693.72,602.88
昆明,,8275.22,7865,7541.37,7222.5,6734,6476,5206.9,4857.64,4300.08,3968.01,3712.99,3415.31,3011.1,2509.58,2120.4,1809,1511.68,1405.05,1207.29
拉萨,,990.04,835,747.57,741.84,678,618,540.78,479.25,424.95,376.73,347.45,304.87,260.1,222.42,,163,142.05,121.91,
西安,,13317.78,12011,11486.51,10688.28,10020,9321,8349.86,7469.85,6257.18,5801.2,5492.64,4884.13,4366.1,3864.21,3241.5,2724,2190.04,1763.73,1473.68
兰州,,3742.25,3487,3343.5,3231.29,2887,2837,2732.94,2523.54,2264.23,2095.99,2000.94,1776.28,1563.8,1360.03,1100.4,926,846.28,732.76,638.47
西宁,,1862.09,1801,1644.35,1548.79,1373,1328,1286.41,1284.91,1248.17,1131.62,1065.78,978.53,851.1,770.7,628.3,501,422.19,342.46,281.61
银川,,2939.53,2686,2535.63,2262.95,1964,1897,1901.48,1803.26,1617.71,1493.86,1388.62,1289.02,1150.9,986.68,769.4,578,514.11,408.6,335.29
乌鲁木齐,,4502.16,4168,3893.22,3691.57,3337,3413,3099.77,2743.82,2458.98,2631.64,2461.47,2202.85,2004.1,1690.03,1338.5,1095,1020.35,820.28,654.3
注：直辖市地区生产总值为最新数据，其他大中城市地区生产总值均为初步核算数。,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
